id,path,line_number
nmnhbotany_2136742,metadata/objects/NMNHBOTANY/37.txt.bz2,6121
nmnhbotany_10851545,metadata/objects/NMNHBOTANY/40.txt.bz2,6709
nmnhbotany_10278463,metadata/objects/NMNHBOTANY/27.txt.bz2,5811
nmnhbotany_12243211,metadata/objects/NMNHBOTANY/3d.txt.bz2,8063
nmnhbotany_10277705,metadata/objects/NMNHBOTANY/44.txt.bz2,6291
nmnhbotany_10146953,metadata/objects/NMNHBOTANY/23.txt.bz2,6670
nmnhbotany_10278422,metadata/objects/NMNHBOTANY/27.txt.bz2,5812
nmnhbotany_12167223,metadata/objects/NMNHBOTANY/3d.txt.bz2,8067
nmnhbotany_2116655,metadata/objects/NMNHBOTANY/2f.txt.bz2,6629
nmnhbotany_12243214,metadata/objects/NMNHBOTANY/28.txt.bz2,6239
nmnhbotany_14441598,metadata/objects/NMNHBOTANY/4d.txt.bz2,3565
nmnhbotany_2757028,metadata/objects/NMNHBOTANY/32.txt.bz2,5871
nmnhbotany_11829923,metadata/objects/NMNHBOTANY/33.txt.bz2,6106
nmnhbotany_10167835,metadata/objects/NMNHBOTANY/25.txt.bz2,6518
nmnhbotany_2119060,metadata/objects/NMNHBOTANY/36.txt.bz2,5964
nmnhbotany_10281148,metadata/objects/NMNHBOTANY/24.txt.bz2,5771
nmnhbotany_10327907,metadata/objects/NMNHBOTANY/1f.txt.bz2,7114
nmnhbotany_10562261,metadata/objects/NMNHBOTANY/27.txt.bz2,6378
nmnhbotany_2097363,metadata/objects/NMNHBOTANY/23.txt.bz2,7647
nmnhbotany_11038968,metadata/objects/NMNHBOTANY/39.txt.bz2,5919
nmnhbotany_15183205,metadata/objects/NMNHBOTANY/3e.txt.bz2,9549
nmnhbotany_10467645,metadata/objects/NMNHBOTANY/37.txt.bz2,7353
nmnhbotany_10327889,metadata/objects/NMNHBOTANY/48.txt.bz2,6385
nmnhbotany_14621459,metadata/objects/NMNHBOTANY/49.txt.bz2,6450
nmnhbotany_10486890,metadata/objects/NMNHBOTANY/28.txt.bz2,7007
nmnhbotany_10493942,metadata/objects/NMNHBOTANY/2b.txt.bz2,7982
nmnhbotany_10186442,metadata/objects/NMNHBOTANY/44.txt.bz2,7420
nmnhbotany_2140360,metadata/objects/NMNHBOTANY/42.txt.bz2,7652
nmnhbotany_11829932,metadata/objects/NMNHBOTANY/2d.txt.bz2,7216
nmnhbotany_2002397,metadata/objects/NMNHBOTANY/30.txt.bz2,7798
nmnhbotany_2480365,metadata/objects/NMNHBOTANY/23.txt.bz2,8119
nmnhbotany_2570850,metadata/objects/NMNHBOTANY/2f.txt.bz2,8098
nmnhbotany_10486893,metadata/objects/NMNHBOTANY/49.txt.bz2,6799
nmnhbotany_2140445,metadata/objects/NMNHBOTANY/4d.txt.bz2,5138
nmnhbotany_2092126,metadata/objects/NMNHBOTANY/28.txt.bz2,7574
nmnhbotany_10456074,metadata/objects/NMNHBOTANY/42.txt.bz2,7869
nmnhbotany_12107199,metadata/objects/NMNHBOTANY/27.txt.bz2,7262
nmnhbotany_10766209,metadata/objects/NMNHBOTANY/45.txt.bz2,7409
nmnhbotany_15028598,metadata/objects/NMNHBOTANY/21.txt.bz2,8584
nmnhbotany_14087148,metadata/objects/NMNHBOTANY/3d.txt.bz2,9638
nmnhbotany_10459103,metadata/objects/NMNHBOTANY/26.txt.bz2,8357
nmnhbotany_10277668,metadata/objects/NMNHBOTANY/37.txt.bz2,8146
nmnhbotany_12167216,metadata/objects/NMNHBOTANY/35.txt.bz2,8024
nmnhbotany_2080428,metadata/objects/NMNHBOTANY/4a.txt.bz2,7673
nmnhbotany_12167225,metadata/objects/NMNHBOTANY/35.txt.bz2,8025
nmnhbotany_14441601,metadata/objects/NMNHBOTANY/21.txt.bz2,8977
nmnhbotany_14441834,metadata/objects/NMNHBOTANY/21.txt.bz2,8978
nmnhbotany_2002039,metadata/objects/NMNHBOTANY/3a.txt.bz2,7746
nmnhbotany_10327894,metadata/objects/NMNHBOTANY/3b.txt.bz2,7939
nmnhbotany_10281144,metadata/objects/NMNHBOTANY/32.txt.bz2,8025
nmnhbotany_15183760,metadata/objects/NMNHBOTANY/2f.txt.bz2,8932
nmnhbotany_14087100,metadata/objects/NMNHBOTANY/3f.txt.bz2,9611
nmnhbotany_10062069,metadata/objects/NMNHBOTANY/48.txt.bz2,7989
nmnhbotany_10279715,metadata/objects/NMNHBOTANY/4d.txt.bz2,6286
nmnhbotany_12500957,metadata/objects/NMNHBOTANY/3e.txt.bz2,11223
nmnhbotany_2114085,metadata/objects/NMNHBOTANY/49.txt.bz2,7668
nmnhbotany_14441839,metadata/objects/NMNHBOTANY/22.txt.bz2,9176
nmnhbotany_14037005,metadata/objects/NMNHBOTANY/25.txt.bz2,9524
nmnhbotany_14087162,metadata/objects/NMNHBOTANY/27.txt.bz2,9001
nmnhbotany_14087095,metadata/objects/NMNHBOTANY/27.txt.bz2,9002
nmnhbotany_14441793,metadata/objects/NMNHBOTANY/2d.txt.bz2,9104
nmnhbotany_2079216,metadata/objects/NMNHBOTANY/49.txt.bz2,8158
nmnhbotany_14087101,metadata/objects/NMNHBOTANY/34.txt.bz2,9542
nmnhbotany_14471237,metadata/objects/NMNHBOTANY/31.txt.bz2,10091
nmnhbotany_15179052,metadata/objects/NMNHBOTANY/2e.txt.bz2,9915
nmnhbotany_15179620,metadata/objects/NMNHBOTANY/3c.txt.bz2,11644
nmnhbotany_2077274,metadata/objects/NMNHBOTANY/3e.txt.bz2,12367
nmnhbotany_12501079,metadata/objects/NMNHBOTANY/25.txt.bz2,10398
nmnhbotany_2500745,metadata/objects/NMNHBOTANY/3a.txt.bz2,9167
nmnhbotany_12457193,metadata/objects/NMNHBOTANY/2f.txt.bz2,10323
nmnhbotany_2131167,metadata/objects/NMNHBOTANY/3e.txt.bz2,12368
nmnhbotany_14202425,metadata/objects/NMNHBOTANY/48.txt.bz2,9456
nmnhbotany_15212354,metadata/objects/NMNHBOTANY/3b.txt.bz2,9650
nmnhbotany_2105862,metadata/objects/NMNHBOTANY/35.txt.bz2,10089
nmnhbotany_12504284,metadata/objects/NMNHBOTANY/2d.txt.bz2,10402
nmnhbotany_14202419,metadata/objects/NMNHBOTANY/49.txt.bz2,9491
nmnhbotany_2152597,metadata/objects/NMNHBOTANY/3c.txt.bz2,12577
nmnhbotany_2076653,metadata/objects/NMNHBOTANY/56.txt.bz2,11278
nmnhbotany_14087158,metadata/objects/NMNHBOTANY/39.txt.bz2,9807
nmnhbotany_14087099,metadata/objects/NMNHBOTANY/39.txt.bz2,9808
nmnhbotany_2157176,metadata/objects/NMNHBOTANY/1e.txt.bz2,11500
nmnhbotany_14432776,metadata/objects/NMNHBOTANY/49.txt.bz2,9706
nmnhbotany_2133516,metadata/objects/NMNHBOTANY/1e.txt.bz2,11501
nmnhbotany_12494048,metadata/objects/NMNHBOTANY/46.txt.bz2,10187
nmnhbotany_2109392,metadata/objects/NMNHBOTANY/42.txt.bz2,11305
nmnhbotany_2087233,metadata/objects/NMNHBOTANY/44.txt.bz2,11186
nmnhbotany_2080199,metadata/objects/NMNHBOTANY/3f.txt.bz2,12439
nmnhbotany_11145311,metadata/objects/NMNHBOTANY/3e.txt.bz2,13211
nmnhbotany_11145339,metadata/objects/NMNHBOTANY/1d.txt.bz2,13093
nmnhbotany_13190017,metadata/objects/NMNHBOTANY/40.txt.bz2,12010
nmnhbotany_15185238,metadata/objects/NMNHBOTANY/1d.txt.bz2,13291
